Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,13,Málaga ,4 – 3 ,Deportivo de La Coruña ,La Rosaleda ,26 de noviembre ,13:00 ,12679,Vicandi Garrido ,4,0
2016,13,Real Madrid ,2 – 1 ,Sporting de Gijón ,Bernabéu ,26 de noviembre ,16:15 ,67118,Hernández Hernández ,4,0
2016,13,Espanyol ,3 – 0 ,Leganés ,RCDE Stadium ,26 de noviembre ,18:30 ,17137,Martínez Munuera ,3,0
2016,13,Sevilla ,2 – 1 ,Valencia ,Sánchez-Pizjuán ,26 de noviembre ,20:45 ,31901,Del Cerro Grande ,1,0
2016,13,Villarreal ,0 – 2 ,Deportivo Alavés ,El Madrigal ,27 de noviembre ,12:00 ,15629,Undiano Mallenco ,5,0
2016,13,Osasuna ,0 – 3 ,Atlético de Madrid ,El Sadar ,27 de noviembre ,16:15 ,16385,Mateu Lahoz ,4,0
2016,13,Celta de Vigo ,3 – 1 ,Granada ,Balaídos ,27 de noviembre ,18:30 ,15852,Trujillo Suárez ,3,0
2016,13,Real Sociedad ,1 – 1 ,Barcelona ,Anoeta ,27 de noviembre ,20:45 ,27756,Gil Manzano ,6,0
2016,13, Las Palmas ,3 – 1 ,Athletic Club ,Gran Canaria ,28 de noviembre ,20:45 ,20717,Álvarez Izquierdo ,9,0
2016,14,Granada ,2 – 1 ,Sevilla ,Los Cármenes ,3 de diciembre ,13:00 ,15832,González González ,7,0
2016,14,Barcelona ,1 – 1 ,Real Madrid ,Camp Nou ,3 de diciembre ,16:15 ,98485,Clos Gómez ,6,0
2016,14,Leganés ,0 – 0 ,Villarreal ,Butarque ,3 de diciembre ,18:30 ,8526,Melero López ,9,0
2016,14,Atlético de Madrid ,0 – 0 ,Espanyol ,Vicente Calderón ,3 de diciembre ,20:45 ,39707,Jaime Latre ,4,0
2016,14,Betis ,3 – 3 ,Celta de Vigo ,Villamarín ,4 de diciembre ,12:00 ,27241,Sánchez Martínez ,7,0
2016,14,Athletic Club ,3 – 1 ,Eibar ,San Mamés ,4 de diciembre ,16:15 ,42831,Estrada Fernández ,5,0
2016,14,Sporting de Gijón ,3 – 1 ,Osasuna ,El Molinón ,4 de diciembre ,18:30 ,25800,De Burgos Bengoetxea ,4,0
2016,14,Deportivo Alavés ,1 – 1 , Las Palmas ,Mendizorroza ,4 de diciembre ,18:30 ,18724,Fernández Borbalán ,6,0
2016,14,Valencia ,2 – 2 ,Málaga ,Mestalla ,4 de diciembre ,20:45 ,23121,Iglesias Villanueva ,6,0
